ID,Order_Date,Time_Orderd,Time_Order_picked,Weather_conditions,Road_traffic_density,Type_of_order,multiple_deliveries,Festival,City,Time_taken_min
0xcdcd,12/02/2022,21:55:00,22:10:00,Fog,Jam,Snack,3,No,Metropolitian,46
0xd987,13/02/2022,14:55:00,15:05:00,Stormy,High,Meal,1,No,Metropolitian,23
0x2784,04/03/2022,17:30:00,17:40:00,Sandstorms,Medium,Drinks,1,No,Metropolitian,21
0xc8b6,13/02/2022,09:20:00,09:30:00,Sandstorms,Low,Buffet,0,No,Metropolitian,20
0xdb64,14/02/2022,19:50:00,20:05:00,Fog,Jam,Snack,1,No,Metropolitian,41
0x3af3,02/04/2022,20:25:00,20:35:00,Sandstorms,Jam,Buffet,1,No,Metropolitian,20
0x3aab,01/03/2022,14:55:00,15:10:00,Windy,High,Meal,1,No,Metropolitian,33
0x689b,16/03/2022,20:30:00,20:40:00,Sandstorms,Jam,Snack,1,No,Metropolitian,40
0xc9cf,15/02/2022,21:15:00,21:30:00,Windy,Jam,Meal,1,No,Urban,15
0x36b8,16/03/2022,20:20:00,20:25:00,Sandstorms,Jam,Snack,2,No,Metropolitian,36
0x5795,10/03/2022,22:30:00,22:45:00,Sandstorms,Low,Meal,0,No,Metropolitian,26
0x6c6b,11/03/2022,08:15:00,08:30:00,Sandstorms,Low,Snack,1,No,Metropolitian,20
0xb816,27/03/2022,19:30:00,19:45:00,Windy,Jam,Meal,1,No,Metropolitian,39
0x539b,26/03/2022,12:25:00,12:30:00,Cloudy,High,Buffet,1,No,Metropolitian,34
0xa1b2,27/03/2022,18:35:00,18:50:00,Sunny,Medium,Meal,1,No,Metropolitian,15
0x3231,05/04/2022,20:35:00,20:40:00,Stormy,Jam,Snack,0,No,Urban,18
0x8bc0,12/03/2022,23:20:00,23:30:00,Cloudy,Low,Drinks,0,No,Metropolitian,38
0x2288,16/03/2022,21:20:00,21:35:00,Windy,Jam,Buffet,1,No,Metropolitian,47
0x3c5e,02/04/2022,23:35:00,23:45:00,Windy,Low,Buffet,0,No,Urban,12
0x3e60,01/04/2022,22:35:00,22:50:00,Sandstorms,Low,Drinks,1,No,Metropolitian,26
0xbff,05/03/2022,22:35:00,22:40:00,Stormy,Low,Drinks,1,No,Urban,22
0xd936,11/02/2022,23:25:00,23:35:00,Sandstorms,Low,Buffet,0,No,Urban,21
0xd681,11/02/2022,13:35:00,13:40:00,Cloudy,High,Drinks,1,No,Urban,25
0x30c8,02/04/2022,22:35:00,22:45:00,Cloudy,Low,Drinks,1,No,Metropolitian,30
0xb843,08/03/2022,18:55:00,19:10:00,Sunny,Medium,Snack,1,No,Metropolitian,22
0xb3a0,03/04/2022,14:15:00,14:25:00,Windy,High,Snack,0,No,Urban,10
0x6531,30/03/2022,11:00:00,11:10:00,Sandstorms,Low,Meal,1,No,Metropolitian,19
0x4bda,01/04/2022,09:45:00,09:55:00,Sunny,Low,Snack,1,No,Urban,11
0x9d26,28/03/2022,08:40:00,08:55:00,Stormy,Low,Buffet,0,No,Metropolitian,11
0x9b18,18/03/2022,23:00:00,23:10:00,Fog,Low,Snack,1,No,Metropolitian,28
0x5d99,14/03/2022,17:25:00,17:30:00,Cloudy,Medium,Snack,1,No,Metropolitian,33
0xb796,04/04/2022,19:45:00,19:50:00,Sandstorms,Jam,Snack,3,No,Metropolitian,52
0x85b4,08/03/2022,19:10:00,19:25:00,Stormy,Jam,Snack,1,No,Metropolitian,22
0xc644,13/02/2022,10:55:00,11:00:00,Fog,Low,Snack,1,No,Urban,16
0x6999,24/03/2022,21:40:00,21:45:00,Sunny,Jam,Drinks,0,No,Metropolitian,11
0x63b6,19/03/2022,19:00:00,19:15:00,Windy,Medium,Drinks,1,No,Metropolitian,25
0xa30b,09/03/2022,16:45:00,16:55:00,Cloudy,Medium,Drinks,1,No,Urban,26
0x3556,19/03/2022,11:30:00,11:40:00,Sunny,High,Snack,1,No,Metropolitian,18
0x5554,03/04/2022,15:10:00,15:15:00,Fog,Medium,Snack,1,No,Metropolitian,16
0x25fd,25/03/2022,22:45:00,22:55:00,Stormy,Low,Drinks,1,No,Metropolitian,23
0x7ac8,04/04/2022,20:45:00,20:55:00,Sandstorms,Jam,Drinks,1,No,Metropolitian,36
0x3da1,26/03/2022,22:50:00,23:05:00,Cloudy,Low,Snack,0,No,Metropolitian,16
0x272d,10/03/2022,17:55:00,18:00:00,Sunny,Medium,Buffet,0,No,Urban,19
0xddc5,14/02/2022,22:45:00,23:00:00,Sunny,Low,Snack,1,No,Metropolitian,27
0x8aa2,29/03/2022,22:25:00,22:35:00,Sandstorms,Low,Drinks,0,No,Urban,18
0xb55a,30/03/2022,21:55:00,22:00:00,Sunny,Jam,Drinks,0,No,Metropolitian,22
0x73cc,12/03/2022,22:40:00,22:55:00,Cloudy,Low,Drinks,1,No,Metropolitian,34
0xbe80,31/03/2022,23:50:00,23:55:00,Sandstorms,Low,Buffet,0,No,Urban,24
0x1609,17/03/2022,15:25:00,15:40:00,Fog,Medium,Drinks,1,No,Metropolitian,17
0xd255,15/02/2022,10:20:00,10:30:00,Sandstorms,Low,Meal,0,No,Metropolitian,14
0xde72,15/02/2022,20:55:00,21:00:00,Stormy,Jam,Meal,1,No,Metropolitian,30
0xa258,16/03/2022,20:10:00,20:15:00,Cloudy,Jam,Snack,1,No,Metropolitian,36
0x8b53,17/03/2022,12:10:00,12:15:00,Sunny,High,Buffet,1,No,Urban,18
0xbbde,15/03/2022,15:30:00,15:45:00,Fog,Medium,Meal,0,No,Metropolitian,17
0x4b7f,05/03/2022,23:50:00,00:05:00,Fog,Low,Buffet,0,No,Metropolitian,10
0xb962,12/03/2022,20:25:00,20:40:00,Sandstorms,Jam,Buffet,2,No,Metropolitian,37
0x633c,29/03/2022,20:50:00,21:00:00,Fog,Jam,Drinks,2,No,Metropolitian,44
0x2dc6,19/03/2022,12:35:00,12:45:00,Windy,High,Drinks,1,No,Metropolitian,28
0x903a,10/03/2022,21:00:00,21:15:00,Cloudy,Jam,Snack,1,No,Metropolitian,42
0x1fb7,27/03/2022,18:15:00,18:20:00,Cloudy,Medium,Snack,1,No,Metropolitian,39
0x34d7,27/03/2022,18:20:00,18:25:00,Stormy,Medium,Meal,0,No,Urban,20
0x156b,24/03/2022,11:45:00,11:50:00,Stormy,High,Buffet,1,No,Metropolitian,31
0x56ad,09/03/2022,20:45:00,20:55:00,Stormy,Jam,Buffet,0,No,Metropolitian,13
0xcbc4,15/02/2022,12:45:00,12:50:00,Windy,High,Snack,1,No,Urban,19
0xc19e,18/02/2022,23:30:00,23:45:00,Fog,Low,Buffet,2,Yes,Urban,42
0x1d60,01/03/2022,10:50:00,10:55:00,Fog,Low,Drinks,1,No,Metropolitian,23
0x95fb,23/03/2022,21:25:00,21:40:00,Stormy,Jam,Meal,1,No,Metropolitian,39
0x8195,01/04/2022,10:10:00,10:20:00,Stormy,Low,Drinks,1,No,Metropolitian,25
0xc042,16/02/2022,23:00:00,23:05:00,Sandstorms,Low,Drinks,0,No,Metropolitian,15
0x6d19,11/03/2022,08:40:00,08:55:00,Cloudy,Low,Drinks,1,No,Urban,15
0x35e6,14/03/2022,17:50:00,17:55:00,Sunny,Medium,Buffet,0,No,Metropolitian,15
0x97e3,01/04/2022,22:20:00,22:25:00,Sunny,Low,Drinks,0,No,Metropolitian,18
0xa3e0,04/04/2022,23:40:00,23:50:00,Sandstorms,Low,Drinks,0,No,Metropolitian,29
0x4161,11/03/2022,23:25:00,23:30:00,Fog,Low,Snack,0,No,Metropolitian,20
0x1236,13/03/2022,12:40:00,12:55:00,Cloudy,High,Meal,1,No,Metropolitian,39
0x2558,04/03/2022,23:30:00,23:45:00,Windy,Low,Snack,0,No,Metropolitian,19
0x3185,26/03/2022,23:55:00,00:10:00,Cloudy,Low,Snack,1,No,Urban,19
0x3c57,16/03/2022,22:50:00,23:00:00,Windy,Low,Meal,0,No,Metropolitian,17
0x4863,01/03/2022,10:25:00,10:40:00,Stormy,Low,Snack,1,No,Urban,15
0x6757,15/03/2022,08:45:00,09:00:00,Sandstorms,Low,Meal,0,No,Urban,19
